Hospitals
7.376831,124.558155	ALAMADA PROVINCIAL COMMUNITY HOSPITAL
6.46993,124.84825	SAN ISIDRO BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
6.45523,124.68342	SAN ISIDRO BARANGAY HEALTH STATION-SANTO NIÑO
6.45625,124.9679	SAN ISIDRO BARANGAY HEALTH STATION-TAMPAKAN
5.58943,125.30493	SAN JOSE BARANGAY HEALTH STATION-GLAN
6.36968,124.80884	SAN JOSE BARANGAY HEALTH STATION-BANGA
6.71566,124.74576	SAN JOSE BARANGAY HEALTH STATION-PRESIDENT QUIRINO
6.07032,125.02357	SAN JOSE BARANGAY HEALTH STATION-GENERAL SANTOS CITY (DADIANGAS)
6.55333,124.90369	SAN JOSE BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
7.15129,124.5812	SAN MATEO BARANGAY HEALTH STATION-ALEOSAN
6.49509,124.71749	SAN MIGUEL BARANGAY HEALTH STATION-NORALA
6.69586,124.71474	SAN PEDRO (TUATO) BARANGAY HEALTH STATION-PRESIDENT QUIRINO
7.099449,124.990557	SAN ROQUE BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
6.39197,125.34193	SAN ROQUE BARANGAY HEALTH STATION-MALUNGON
6.4514,124.89952	SAN ROQUE BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
6.948121,125.039716	SAN VICENTE BARANGAY HEALTH STATION-MAKILALA
5.80403,125.26625	SAN VICENTE BARANGAY HEALTH STATION-GLAN
6.4482,124.79194	SAN VICENTE BARANGAY HEALTH STATION-BANGA
6.49077,124.65366	SAN VICENTE BARANGAY HEALTH STATION-SANTO NINO
6.933217,124.886664	SANGAT BARANGAY HEALTH STATION-M'LANG
6.47436,124.8402	SANTA CRUZ A BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
6.46184,124.9343	SANTA CRUZ BARANGAY HEALTH STATION-TAMPAKAN
6.942029,125.086638	SANTA FELOMINA BARANGAY HEALTH STATION-MAKILALA
7.213753,124.980042	SANTA MARIA BARANGAY HEALTH STATION-MATALAM
7.073337,125.053337	SANTO NIÑO BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
6.4931,124.86784	SANTO NIÑO BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
6.45454,124.50406	SANTO NIÑO BARANGAY HEALTH STATION-BAGUMBAYAN
6.925281,125.104673	SANTO NIÑO BARANGAY HEALTH STATION-MAKILALA
5.90881,125.26625	SAPU MASLA BARANGAY HEALTH STATION-MALAPATAN
5.91486,125.26891	SAPU PADIDU BARANGAY HEALTH STATION-MALAPATAN
6.4236,124.88408	SARAVIA A BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
6.40344,124.88648	SARAVIA B BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
6.85827,124.6479	SENEBEN BARANGAY HEALTH STATION-LAMBAYONG (MARIANO MARCOS)
7.058049,125.12445	SIBAWAN BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
5.98048,125.11069	SIGUEL BARANGAY HEALTH STATION-GENERAL SANTOS CITY (DADIANGAS)
6.17685,125.12125	SILWAY 7 BARANGAY HEALTH STATION-POLOMOLOK
6.19463,125.0923	SILWAY 8 BARANGAY HEALTH STATION-POLOMOLOK
6.24817,124.95826	SIMBO BARANGAY HEALTH STATION-TUPI
6.55895,124.65254	SIMSIMAN BARANGAY HEALTH STATION-NORALA
6.73373,124.7522	SINAKULAY BARANGAY HEALTH STATION-PRESIDENT QUIRINO
7.31141,124.53932	SINAPANGAN BARANGAY HEALTH STATION-LIBUNGAN
6.13305,125.10787	SINAWAL BARANGAY HEALTH STATION-GENERAL SANTOS CITY (DADIANGAS)
7.26456,124.48954	SINAWINGAN BARANGAY HEALTH STATION-LIBUNGAN
6.996391,125.055829	SINGAO BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
6.941393,125.008188	SINKATULAN BARANGAY HEALTH STATION-MAKILALA
6.26159,124.81111	SINOLON BARANGAY HEALTH STATION-T'BOLI
6.06646,124.51819	SISON (EDENTON) BARANGAY HEALTH STATION-MAITUM
6.55061,124.5856	SISON BARANGAY HEALTH STATION-BAGUMBAYAN
5.66589,125.30391	SMALL MARGUS BIRTHING HOME-GLAN
6.12031,125.17026	SOLEDAD ESTATE BARANGAY HEALTH STATION-GENERAL SANTOS CITY (DADIANGAS)
6.09377,125.30746	SPRING BARANGAY HEALTH STATION-ALABEL (Capital)
6.9603,124.72963	SUBEN BARANGAY HEALTH STATION-PRESIDENT QUIRINO
7.025839,125.098336	SUDAPIN BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
5.76721,125.2579	SUFATUBO BIRTHING HOME-GLAN
5.99134,124.64661	SULI BARANGAY HEALTH STATION-KIAMBA
6.23501,125.02158	SULIT BARANGAY HEALTH STATION-POLOMOLOK
6.25652,124.98112	SUMBAKIL BARANGAY HEALTH STATION-POLOMOLOK
7.005838,125.003605	SUMBAO BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
6.04807,124.55243	TABLAO BARANGAY HEALTH STATION-KIAMBA
7.067201,124.876758	TACULEN BARANGAY HEALTH STATION-MATALAM
7.305596,124.943995	TAGURANAO BARANGAY HEALTH STATION-MATALAM
6.22118,124.68487	TAKUNEL BARANGAY HEALTH STATION-LAKE SEBU
6.39035,124.69124	TALAHIK BARANGAY HEALTH STATION-SURALLAH
6.22338,124.96455	TALCON BARANGAY HEALTH STATION-T'BOLI
6.27105,124.7173	TALISAY BARANGAY HEALTH STATION-LAKE SEBU
6.943645,125.069016	TALUNTALUNAN BARANGAY HEALTH STATION-MAKILALA
5.80716,125.17884	TALUYA BARANGAY HEALTH STATION-GLAN
6.72491,124.62209	TAMBAK BARANGAY HEALTH STATION-LAMBAYONG (MARIANO MARCOS)
6.31234,125.29818	TAMBAN BARANGAY HEALTH STATION-MALUNGON
5.96674,124.6787	TAMBILIL BARANGAY HEALTH STATION-KIAMBA
6.05886,125.14245	TAMBLER BARANGAY HEALTH STATION-GENERAL SANTOS CITY (DADIANGAS)
7.17809,124.2272	TAMONTAKA I BARANGAY HEALTH STATION-COTABATO
7.17599,124.25119	TAMONTAKA II BARANGAY HEALTH STATION-COTABATO
7.17431,124.26205	TAMONTAKA III BARANGAY HEALTH STATION-COTABATO
7.16268,124.28758	TAMONTAKA IV BARANGAY HEALTH STATION-COTABATO
7.18959,124.23323	TAMONTAKA MOTHER BARANGAY HEALTH STATION-COTABATO
7.14056,124.31006	TAMONTAKA V BARANGAY HEALTH STATION-COTABATO
7.267419,124.935572	TAMPED (TAMPAD) BARANGAY HEALTH CENTER-MATALAM
5.88666,125.23505	TANGO BARANGAY HEALTH STATION-GLAN
6.2431,124.66876	TASIMAN BARANGAY HEALTH STATION-LAKE SEBU
6.932871,124.914573	TAWANTAWAN BARANGAY HEALTH STATION-M'LANG
6.64875,124.55204	TAYUGO BARANGAY HEALTH STATION-ISULAN (Capital)
6.14855,124.87481	T'BOLOK BARANGAY HEALTH STATION-T'BOLI
6.63147,124.97485	TELAFAS BARANGAY HEALTH STATION-COLUMBIO
6.41876,124.7054	TERESITA BARANGAY HEALTH STATION-SANTO NINO
7.019158,124.893804	TIBAO BARANGAY HEALTH STATION-M'LANG
6.21164,125.23738	TINAGACAN BARANGAY HEALTH STATION-GENERAL SANTOS CITY (DADIANGAS)
6.55191,124.70575	TINAGO BARANGAY HEALTH STATION-NORALA
6.7366,124.72483	TINAUNGAN BARANGAY HEALTH STATION-PRESIDENT QUIRINO
6.506,124.80214	TINONGCOP BARANGAY HEALTH STATION-TANTANGAN
6.83996,124.61758	TINUMIGUES BARANGAY HEALTH STATION-LAMBAYONG (MARIANO MARCOS)
6.50033,124.53875	TITULOK BARANGAY HEALTH STATION-BAGUMBAYAN
6.16046,125.2523	TOKAWAL BARANGAY HEALTH STATION-ALABEL (Capital)
6.72141,124.722224	TUAL (LIGUASAN) BARANGAY HEALTH STATION-PRESIDENT QUIRINO
6.36984,124.88705	TUBENG BARANGAY HEALTH STATION-TUPI
6.30133,124.77683	TUBI - ALA BARANGAY HEALTH STATION-SURALLAH
7.26334,124.43807	TUBON BARANGAY HEALTH STATION-PIGKAWAYAN
6.06685,124.81829	TUDOK BARANGAY HEALTH STATION-T'BOLI
6.51858,124.58723	TUKA BARANGAY HEALTH STATION-BAGUMBAYAN
6.75678,124.66532	TUMIAO (TINAGA) BARANGAY HEALTH STATION-LAMBAYONG (MARIANO MARCOS)
6.0025,125.29534	TUYAN BARANGAY HEALTH STATION-MALAPATAN
6.949656,124.945299	UGPAY BARANGAY HEALTH STATION-M'LANG
7.27195,124.48083	ULAMIAN BARANGAY HEALTH STATION-LIBUNGAN
6.10874,124.47064	UPO (LANAO) BARANGAY HEALTH STATION-MAITUM
7.50668,124.52134	UPPER DADO BARANGAY HEALTH STATION-ALAMADA
6.22578,125.12297	UPPER KLINAN BARANGAY HEALTH STATION-POLOMOLOK
6.26044,125.22704	UPPER LABAY BARANGAY HEALTH STATION-GENERAL SANTOS CITY (DADIANGAS)
6.24045,124.77278	UPPER MACULAN BARANGAY HEALTH STATION-LAKE SEBU
6.37554,125.32653	UPPER MAINIT BARANGAY HEALTH STATION-MALUNGON
6.04999,125.44173	UPPER SUYAN BARANGAY HEALTH STATION-MALAPATAN
6.27284,124.80078	VETERANS BARANGAY HEALTH STATION-SURALLAH
6.70495,124.51968	VILLAMOR BARANGAY HEALTH STATION-ESPERANZA
6.42143,124.78132	YANGCO POBLACION BARANGAY HEALTH STATION-BANGA
6.09391,124.52412	ZION BARANGAY HEALTH STATION-MAITUM
6.50714,124.93999	ZONE I (POB.) BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
6.49562,124.85286	ZONE II (POB.) BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
6.4942,124.84541	ZONE III A (POB.) BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
6.49408,124.84502	ZONE III B (POB.) BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
6.50398,124.83446	ZONE IV A AND B (POB.) BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)

Blood Bank	
7.200089,124.236776	COTABATO REGIONAL AND MEDICAL CENTER, Blood Bank-COTABATO
6.120279,125.178477	GENERAL SANTOS DOCTORS HOSPITAL, INC., Blood Bank-GENERAL SANTOS CITY (DADIANGAS)
6.492712,124.838998	SOUTH COTABATO PROVINCIAL HOSPITAL, Blood Bank-CITY OF KORONADAL (Capital)

Blood Center	
6.149462,125.172349	Philippine Red Cross,Blood Center - General Santos Chapter
7.221378,124.243768	Philippine Red Cross,Blood Center - Cotabato City Chapter
7.008163,125.087488	Philippine Red Cross,Blood Center - Kidapawan City Chapter

Blood Collection Unit/Blood Station	
6.634204,124.596747	SULTAN KUDARAT PROVINCIAL HOSPITAL,Blood Collection Unit-ISULAN (Capital)
6.693246,124.674858	Philippine Red Cross,Blood Collection Unit - Tacurong City Chapter
6.493615,124.839152	Philippine Red Cross,Blood Collection Unit - Koronadal City Chapter

Blood Station	
6.220412,125.063767	BONTUYAN MEDICAL HOSPITAL INC.,Blood Station-POLOMOLOK
988770,124.633576	TIBURCIO B. AQUINO MEMORIAL HOSPITAL,Blood Station-KIAMBA
7.009977,125.091376	MIDWAY HOSPITAL,Blood Station-CITY OF KIDAPAWAN (Capital)
6.945334,124.887673	CEM MEDICAL SPECIALIST HOSPITAL,Blood Station-M'LANG
6.125732,125.185588	GENERAL SANTOS CITY HOSPITAL,Blood Station-GENERAL SANTOS CITY (DADIANGAS)
6.367351,124.743549	LANDERO CLINIC AND HOSPITAL,Blood Station-SURALLAH
6.947802,124.8788	M'LANG DISTRICT HOSPITAL,Blood Station-M'LANG
7.24433,125.055887	ANTIPAS MEDICAL SPECIALIST HOSPITAL, INC.,Blood Station-ANTIPAS
6.623675,124.602374	GALINATO FAMILY CLINIC AND HOSPITAL,Blood Station-ISULAN (Capital)
7.22427,124.246717	COTABATO PUERICULTURE CENTER AND GENERAL HOSPITAL FOUNDATION, INCORPORATED,Blood Station-COTABATO
6.68008,124.657531	SANDIG MEDICAL CLINIC AND HOSPITAL,Blood Station-CITY OF TACURONG
6.114345,125.16715	RO DIAGAN COOPERATIVE HOSPITAL,Blood Station-GENERAL SANTOS CITY (DADIANGAS)
6.11831,125.189812	SOCSARGEN COUNTY HOSPITAL,Blood Station-GENERAL SANTOS CITY (DADIANGAS)
6.70331,124.673281	QUIJANO CLINIC AND HOSPITAL INCORPORATED,Blood Station-CITY OF TACURONG
6.724519,124.518319	DR. DOMINGO B. TAMONDONG MEMORIAL HOSPITAL AND COLLEGE FOUNDATION, INC.,Blood Station-ESPERANZA
7.113179,124.828269	KABACAN POLYMEDIC COOPERATIVE HOSPITAL,Blood Station-KABACAN
5.988425,124.622441	KIAMBA DISTRICT HOSPITAL,Blood Station-KIAMBA
7.010814,125.09104	KIDAPAWAN DOCTORS HOSPITAL INC.,Blood Station-CITY OF KIDAPAWAN (Capital)
7.017949,125.092006	KIDAPAWAN MEDICAL SPECIALIST CENTER, INC.,Blood Station-CITY OF KIDAPAWAN (Capital)
6.949091,125.099602	MAKILALA MEDICAL SPECIALIST HOSPITAL, INC.,Blood Station-MAKILALA
7.142647,124.520164	MIDSAYAP COMMUNITY DOCTORS HOSPITAL,Blood Station-MIDSAYAP
7.057317,124.971737	COTABATO PROVINCIAL HOSPITAL,Blood Station-CITY OF KIDAPAWAN (Capital)
6.5053332,124.8370215	THE DOCTORS CLINIC AND HOSPITAL, INC.,Blood Station-CITY OF KORONADAL (Capital)
7.132027,124.525577	ANECITO T. PESANTE SR. MEMORIAL HOSPITAL, INC.,Blood Station-MIDSAYAP
